Facilities,NAICS,Industry,Electricity (PJ),Emissions* (MtCO2),PJe/ MtCO2,TWhe/ MtCO2
10,331313,Aluminium,178.058,5.8022,30.6882,8.5245
80,322XXX,Pulp & Paper,136.868,5.6827,24.0852,6.6903
16,324110,Refinery,21.28,16.3862,1.2987,0.3607
19,331110,Steelmaking,29.498,14.3655,2.0534,0.5704
9,212210,Iron ore mining & pelletizing,10.5365,2.6118,4.0342,1.1206
15,327310,Cement,7.743,11.298,0.6853,0.1904
1,331313,Alumina,4,0.37,10.8119,3.0033
24,212220,Gold & silver ore mining,16.6375,1.4255,11.671,3.242
9,327410,Lime,0.455,2.062,0.2207,0.0613
12,212396,Potash mining,8.4524,2.1256,3.9765,1.1046
11,331410,Non-ferrous smelting,22.773,0.982,23.1904,6.4418
69,325XXX,Chemicals,68.5012,22.6444,3.0251,0.8403
