model,carrier,committable,lifetime,efficiency
default_biomass,biomass,FALSE,20,0.25
default_biogas,biogas,FALSE,20,0.25
coal_IGCC,coal,FALSE,50,0.41
coal_pulverized,coal,FALSE,50,0.41
default_diesel,diesel,FALSE,25,0.3
gas_CC,gas,FALSE,25,0.55
gas_CT,gas,FALSE,25,0.35
hydro_ror,hydro,FALSE,100,1
import,import,FALSE,inf,1
default_nuclear,nuclear,FALSE,30,0.33
default_SMR,nuclear,FALSE,30,0.37
default_oil,oil,FALSE,40,0.3
default_solar_PV,solar,FALSE,30,1
wind_2021,wind,FALSE,25,0.82
wind_new,wind,FALSE,30,0.86
wind_offshore_fixed,wind_offshore,FALSE,30,1
wind_offshore_floating,wind_offshore,FALSE,30,1
load_non_commitable,Load,FALSE,inf,1
load_commitable,Load,FALSE,inf,1
