model,2021,2025,2030,2035,2040,2045,2050
default_biomass,101.53,101.53,101.53,101.53,101.53,101.53,101.53
default_biogas,101.53,101.53,101.53,101.53,101.53,101.53,101.53
coal_IGCC,24.32,24.32,25.42,25.42,25.42,25.42,24.32
coal_pulverized,24.85,24.64,25.4,25.04,25.04,25.04,23.95
default_diesel,561.24,561.24,666.99,666.99,666.99,666.99,772.73
gas_CC,30.29,30.07,34.43,34,34,34,39.95
gas_CT,46.26,46.26,53.64,53.64,53.64,53.64,63.02
hydro_ror,0,0,0,0,0,0,0
import,0,0,0,0,0,0,0
default_nuclear,14.05,14.05,14.05,14.05,14.05,14.05,14.05
default_SMR,15.2,15.2,15.2,15.2,15.2,15.2,15.2
default_oil,162.78,162.78,193.45,193.45,193.45,193.45,224.12
default_solar_PV,0,0,0,0,0,0,0
wind_2021,0,0,0,0,0,0,0
wind_new,0,0,0,0,0,0,0
hydro_storage,0,0,0,0,0,0,0
default_liion_battery,0,0,0,0,0,0,0
default_EV,0,0,0,0,0,0,0
