model,2021,2025,2030,2035,2040,2045,2050
default_biomass,7.24,7.24,7.24,7.24,7.24,7.24,7.24
default_biogas,7.24,7.24,7.24,7.24,7.24,7.24,7.24
coal_IGCC,22.69,22.47,22.09,21.72,21.35,20.98,20.6
coal_pulverized,12.83,12.67,12.41,12.13,11.92,11.72,11.51
default_diesel,12.45,12.45,12.45,12.45,12.45,12.45,12.45
gas_CC,2.99,2.93,2.82,2.7,2.62,2.55,2.47
gas_CT,9.58,9.58,9.58,9.58,9.58,9.58,9.58
hydro_ror,3.3,3.3,3.3,3.3,3.3,3.3,3.3
import,60,60,60,60,60,60,60
default_nuclear,3.86,3.86,3.86,3.86,3.86,3.86,3.86
default_SMR,3.59,3.59,3.59,3.59,3.59,3.59,3.59
default_oil,22.69,22.47,22.09,21.72,21.35,20.98,20.6
default_solar_PV,0,0,0,0,0,0,0
wind_2021,0,0,0,0,0,0,0
wind_new,0,0,0,0,0,0,0
hydro_storage,3.3,3.3,3.3,3.3,3.3,3.3,3.3
default_liion_battery,0,0,0,0,0,0,0
default_EV,0,0,0,0,0,0,0
