CODERS_name,province,year
Bayside,NB,2038
Coleson Cove_01,NB,2041
Combustion Turbine #1 Borden,PE,2031
Combustion Turbine #2 Borden,PE,2033
Summerside_08,PE,2035
Grand Manan,NB,2026
Lingan_02,NS,2028
Trenton_05,NS,2028
Brooklyn Energy Centre,NS,2028
Point Tupper Coal,NS,2029
Point Lepreau Nuclear,NB,2045
Lingan_01,NS,2030
Ste Rose,NB,2031
Lingan_03,NS,2030
Lingan_04,NS,2030
Belledune,NB,2030
Coleson Cove_02,NB,2041
Coleson Cove_03,NB,2041
Millbank_01,NB,2031
Millbank_02,NB,2031
Millbank_03,NB,2031
Millbank_04,NB,2031
Pickering A_01,ON,2024
Pickering A_04,ON,2024
Shand,SK,2030
Poplar River_01,SK,2031
Poplar River_02,SK,2029
Boundary Dam_06,SK,2028
Boundary Dam_03,SK,2032
Boundary Dam_04,SK,2034
Boundary Dam_05,SK,2026
Boundary Dam 5 Life Extension Phase 1,SK,2034
Battle River Gas_04,AB,2032
Point Aconi Coal,NS,2030
Landis,SK,2035
Queen Elizabeth_02,SK,2035
Queen Elizabeth_01,SK,2035
Base Plant,AB,2035
Catalyst Paper Port Alberni,BC,2050
Trenton_06,NS,2030
Summerside_01,PE,2035
Summerside_05,PE,2035
Summerside_02,PE,2035
Summerside_03,PE,2035
Summerside_06,PE,2035
Summerside_07,PE,2035
Combustion Turbine #3,PE,2055
Saint John,NB,2028
Grandview_01,NB,2026
Grandview_02,NB,2026
Holyrood_01,NL,2030
Holyrood_02,NL,2030
Holyrood_03,NL,2030
Hardwoods,NL,2030
Stephenville,NL,2030
